"Organisation Name",Website,ASN,"Peering Policy","IPv4 Address","IPv6 Address",Location,"Switch Slot/[Pic/]Port","Port Type","Service Speed","Service Type","Membership Type","Route Servers"
"PrimeXM Networks (Cyprus) Ltd",http://www.primexm.com/,199188,Selective,195.66.226.149,2001:7f8:4::3:a14:1,"Equinix LD6 (EQ4)","edge5-eq4 xe-7/1/0",10G,10000,Regular,full,rs1.lon1
"Produban Servicios Informaticos Generales S.L (UK Branch)",http://www.produban.com/en/aboutus.html,2134,Open,195.66.238.12,2001:7f8:4:1::856:1,"Telehouse North (THN)","edge3-thn-lon2 xe27",1000,1000,Regular,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Produban Servicios Informaticos Generales S.L (UK Branch)",http://www.produban.com/en/aboutus.html,2134,Open,195.66.226.12,,"Telehouse North (THN)","edge1-thn ge-8/3/7",1000,1000,Regular,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Proximus Luxembourg S.A.",http://www.proximus.lu,56665,Selective,195.66.227.16,2001:7f8:4::dd59:1,"Telehouse North (THN)","core3-thn VLAN: 1686",ConneXions,5000,ConneXions,full,"rs1.lon1, rs3.lon1"
"PT Iforte Solusi Infotek",http://www.iforte.id,137367,Open,195.66.226.124,2001:7f8:4::2:1897:1,"Telehouse North (THN)","core3-thn VLAN: 15",ConneXions,3000,ConneXions,full,"rs1.lon1, rs3.lon1"
"PT Jembatan Citra Nusantara",https://www.citra.net.id/,58500,Open,195.66.225.109,2001:7f8:4::e484:1,"Telehouse North (THN)","edge3-thn VLAN: 2001",ConneXions,500,ConneXions,full,"rs1.lon1, rs3.lon1"
"PT NAP Info Lintas Nusa",http://www.nap.net.id,55818,Selective,195.66.227.43,2001:7f8:4::da0a:1,"Telehouse North (THN)","core3-thn VLAN: 9",ConneXions,4000,ConneXions,full,"rs1.lon1, rs3.lon1"
"PT. Dwi Tunggal Putra",http://www.dtp.net.id,18059,Open,195.66.225.96,2001:7f8:4::468b:1,"Telehouse North (THN)","edge1-thn ge-7/2/0",1000,1000,Regular,full,"rs1.lon1, rs3.lon1"
"Public Internet Ltd",http://www.public-internet.co.uk/,28792,Open,195.66.224.131,2001:7f8:4::7078:1,"Telehouse North (THN)","edge4-thn ge-7/0/6",1000,1000,Regular,full,"rs1.lon1, rs1.man1, rs2.lon2, rs2.man1, rs3.lon1, rs4.lon2"
"Public Internet Ltd",http://www.public-internet.co.uk/,28792,Open,195.66.244.245,2001:7f8:4:2::7078:1,"TeleData Delta House (TDD)","edge3-tdd-man1 xe27",1000,1000,Regular,full,"rs1.lon1, rs1.man1, rs2.lon2, rs2.man1, rs3.lon1, rs4.lon2"
"Public Internet Ltd",http://www.public-internet.co.uk/,28792,Open,195.66.236.131,2001:7f8:4:1::7078:1,"Telehouse East (THE)","edge2-the-lon2 xe15",1000,1000,Regular,full,"rs1.lon1, rs1.man1, rs2.lon2, rs2.man1, rs3.lon1, rs4.lon2"
"PubMatic Inc.",http://www.pubmatic.com,62713,Open,195.66.227.213,,"Digital Realty Cloud House West (TCM)","edge1-tcm xe-5/0/2",10G,10000,Regular,full,"rs1.lon1, rs3.lon1"
"PubMatic Inc.",http://www.pubmatic.com,62713,Open,195.66.227.213,,"Digital Realty Cloud House West (TCM)","edge1-tcm xe-5/3/3",10G,10000,Regular,full,"rs1.lon1, rs3.lon1"
"PubMatic Inc.",http://www.pubmatic.com,62713,Open,195.66.227.213,,"Digital Realty Cloud House West (TCM)","edge1-tcm xe-2/0/1",10G,10000,Regular,full,"rs1.lon1, rs3.lon1"
"Pulsant (Scotland) Limited",http://www.lumison.net/,12703,Open,195.66.246.6,2001:7f8:4:3::319f:1,"Pulsant Edinburgh (PUE)","edge2-pue.sco1 34",10G,10000,Regular,full,rs1.sco1
"Pulsant (Scotland) Limited",http://www.lumison.net/,12703,Open,195.66.224.84,2001:7f8:4::319f:1,"Telehouse East (THE)","edge4-the xe-2/2/5",10G,10000,Regular,full,rs1.sco1
"Pure Blue Global Networks Ltd",http://www.pbgn.com,57315,Open,195.66.237.226,2001:7f8:4:1::dfe3:1,"Telehouse North (THN)","edge3-thn-lon2 xe9",1000,1000,Regular,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Pure Blue Global Networks Ltd",http://www.pbgn.com,57315,Open,195.66.225.226,,"Telehouse North (THN)","edge1-thn ge-8/2/0",1000,1000,Regular,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Pure Broadband",https://www.purebroadband.net/,201508,Open,195.66.225.117,2001:7f8:4::3:1324:1,"Telehouse North (THN)","edge3-thn xe-10/1/0",10G,10000,Regular,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
